"Country";"Region";"Hemisphere";"HappinessScore";"HDI";"GDP_PerCapita";"Beer_PerCapita";"Spirit_PerCapita";"Wine_PerCapita";"logwine";"loggdp"
"Gabon";"Sub-Saharan Africa";"south";4,121;698;7,079;347;98;59;1,77085201164214;0,84997191232885
"Mali";"Sub-Saharan Africa";"north";4,073;421;0,78;5;1;1;0;-0,10790539730952
"Haiti";"Latin America and Caribbean";"north";4,028;496;0,735;1;326;1;0;-0,133712660915805
"Botswana";"Sub-Saharan Africa";"south";3,974;712;6,954;173;35;35;1,54406804435028;0,84223468634724
"Comoros";"Sub-Saharan Africa";"south";3,956;502;0,775;1;3;1;0;-0,11069829749369
"Cote d'Ivoire";"Sub-Saharan Africa";"north";3,916;486;1,535;37;1;7;0,845098040014257;0,186108379813205
"Cambodia";"Southeastern Asia";"north";3,907;576;1,27;57;65;1;0;0,103803720955957
"Angola";"Sub-Saharan Africa";"south";3,866;577;3,309;217;57;45;1,65321251377534;0,519696767159853
"Niger";"Sub-Saharan Africa";"north";3,856;351;0,368;3;2;1;0;-0,434152181326482
"Chad";"Sub-Saharan Africa";"north";3,763;405;0,651;15;1;1;0;-0,186419011431808
"Burkina Faso";"Sub-Saharan Africa";"north";3,739;420;0,614;25;7;7;0,845098040014257;-0,211831628858832
"Madagascar";"Sub-Saharan Africa";"south";3,695;517;0,402;26;15;4;0,602059991327962;-0,39577394691553
"Tanzania";"Sub-Saharan Africa";"south";3,666;533;0,878;36;6;1;0;-0,0565054840938974
"Liberia";"Sub-Saharan Africa";"north";3,622;432;0,455;19;152;2;0,301029995663981;-0,341988603342888
"Benin";"Sub-Saharan Africa";"north";3,484;512;0,789;34;4;13;1,11394335230684;-0,10292299679058
"Togo";"Sub-Saharan Africa";"north";3,303;500;0,577;36;2;19;1,27875360095283;-0,238824186844269
"Syria";"Middle East and Northern Africa";"north";3,069;536;2,058;5;35;16;1,20411998265592;0,313445370426414
